City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,2.55,89,100,30.31,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,78,20,17.27,few clouds
2,Busselton,AU,-33.65,115.3333,55.78,77,66,15.55,broken clouds
3,Norman Wells,CA,65.282,-126.8329,-2.85,87,100,9.75,overcast clouds
4,Jamestown,US,42.097,-79.2353,30.52,75,100,5.01,overcast clouds
5,Batagay,RU,67.6333,134.6333,-26.0,97,100,3.36,overcast clouds
6,Bethel,US,41.3712,-73.414,36.01,70,100,16.11,light snow
7,Bilibino,RU,68.0546,166.4372,-24.27,99,100,5.82,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,49.66,62,20,2.3,light rain
9,Rikitea,PF,-23.1203,-134.9692,75.78,72,2,19.51,clear sky
10,Vaini,TO,-21.2,-175.2,78.96,78,100,11.5,light rain
11,Meulaboh,ID,4.1363,96.1285,74.37,92,100,3.44,overcast clouds
12,Sao Filipe,CV,14.8961,-24.4956,78.44,72,0,7.7,clear sky
13,Qaanaaq,GL,77.484,-69.3632,-4.7,66,100,4.23,overcast clouds
14,Salihli,TR,38.4826,28.1477,58.8,66,100,4.05,overcast clouds
15,Kununurra,AU,-15.7667,128.7333,78.78,83,100,5.75,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,63.48,82,98,4.59,overcast clouds
17,Souillac,MU,-20.5167,57.5167,75.96,81,39,13.91,scattered clouds
18,Moyale,KE,3.5167,39.0584,71.33,45,3,10.22,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,69.31,90,100,5.01,overcast clouds
20,Barrow,US,71.2906,-156.7887,19.42,86,100,20.71,light snow
21,Tiksi,RU,71.6872,128.8694,-15.3,94,100,12.12,overcast clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,85,3.0,overcast clouds
23,Sharjah,AE,25.3573,55.4033,70.74,46,1,4.03,clear sky
24,Martvili,GE,42.4144,42.3792,50.05,52,100,6.67,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,72.77,89,100,25.52,overcast clouds
26,Gladstone,AU,-23.85,151.25,78.78,78,38,9.22,scattered clouds
27,Hasaki,JP,35.7333,140.8333,44.22,67,100,9.6,overcast clouds
28,Chokurdakh,RU,70.6333,147.9167,-25.2,99,100,7.83,overcast clouds
29,Kotar,IN,24.7167,80.9833,64.94,39,86,3.38,overcast clouds
30,Bima,ID,-8.4667,118.7167,76.62,92,65,0.69,broken clouds
31,Prainha,BR,-1.8,-53.48,87.17,53,93,2.73,overcast clouds
32,Lazarev,RU,52.225,141.5131,10.44,95,100,6.42,light snow
33,Bredasdorp,ZA,-34.5322,20.0403,70.92,88,97,1.1,overcast clouds
34,Jaszszentandras,HU,47.5833,20.1833,25.03,75,99,11.59,overcast clouds
35,Albany,US,42.6001,-73.9662,30.67,76,74,6.55,broken clouds
36,Beisfjord,NO,68.3751,17.5988,17.65,73,0,6.6,clear sky
37,Zhigansk,RU,66.7697,123.3711,-23.75,95,100,15.08,overcast clouds
38,Kapaa,US,22.0752,-159.319,79.12,72,100,17.27,light rain
39,Torbay,CA,47.6666,-52.7314,32.58,93,100,11.99,overcast clouds
40,New Norfolk,AU,-42.7826,147.0587,54.91,79,79,5.01,broken clouds
41,Nanortalik,GL,60.1432,-45.2371,21.63,85,11,6.11,few clouds
42,Acapulco,MX,16.8634,-99.8901,84.02,65,0,9.22,clear sky
43,Rudbar,AF,30.15,62.6,47.8,50,0,5.01,clear sky
44,Vestmannaeyjar,IS,63.4427,-20.2734,33.93,68,8,4.88,clear sky
45,East London,ZA,-33.0153,27.9116,71.65,91,100,21.99,light rain
46,Arica,CL,-18.475,-70.3042,81.95,64,0,11.5,clear sky
47,Hermanus,ZA,-34.4187,19.2345,69.8,87,100,6.6,overcast clouds
48,Vila Velha,BR,-20.3297,-40.2925,84.94,80,65,4.0,broken clouds
49,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,88,7,18.79,clear sky
50,Houma,US,29.5958,-90.7195,75.2,75,40,4.61,scattered clouds
51,Taitung,TW,22.7583,121.1444,67.53,80,21,14.63,few clouds
52,Balezino,RU,57.9796,53.0106,21.04,84,100,11.52,overcast clouds
53,Port Hedland,AU,-20.3167,118.5667,89.65,31,7,9.22,clear sky
